Time,Memory_Pressure,CPU_Pressure,Swap_Activity,Compression_Ratio,Node0_Free,Node1_Free,NUMA_Miss_Rate,Algorithm,Compression_Ratio_Node0,Compression_Ratio_Node1
2026-03-09 18:07:34.238875,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:07:40.240089,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:07:46.241370,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:07:52.242598,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:07:58.243783,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:08:04.245032,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:08:10.250696,0.0,6.5,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:08:16.253022,0.0,15.3,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:08:22.257282,0.0,3.2,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:08:28.258359,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:08:34.259590,0.0,0.3,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:08:40.260680,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:08:46.261853,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:08:52.263048,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:08:58.264176,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:09:04.265435,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:09:10.266742,0.0,4.5,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:09:16.268092,0.0,16.8,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:09:22.269315,0.0,3.5,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:09:28.270438,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:09:34.271590,0.0,0.2,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:09:40.272952,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:09:46.274094,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:09:52.275497,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:09:58.276756,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:10:04.277963,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:10:10.280084,0.0,5.3,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:10:16.281349,0.0,16.5,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:10:22.282527,0.0,3.2,False,1.0,0,0,0,lzo,1.0,1.0
2026-03-09 18:10:28.283787,0.0,0.0,False,1.0,0,0,0,lzo,1.0,1.0
